time_stamps	cumulative_heading_changes	avg_distance_to_closest_person	intimate_space_intrusions	personal_space_intrusions	social_space_intrusions	robot_on_person_collision	person_on_robot_collision	time_not_moving	avg_robot_linear_speed	avg_robot_angular_speed	avg_acceleration	avg_overacceleration	avg_pedestrian_velocity	avg_closest_pedestrian_velocity	social_force_on_agents	social_force_on_robot	social_work	obstacle_force_on_robot	obstacle_force_on_agents	behavior_active	
57.14	1.4482298865914345e-05	1.336644971590757	0	0	1	0	0	1	0.002519257366657257	-1.5001672181824688e-05	-0.004960161137890506	-0.006441767711546111	1.5	1.5	1.3065340651924643e-15	1.306534065192483e-15	2.6130680926512377e-15	0.0	0.004757550545036793	0	
57.95	2.1104933694005013e-05	0.6703020841268568	0	1	0	0	0	1	0.005903190467506647	4.742205419461243e-05	0.004177695186233814	0.0051576483780664375	1.4960391521453857	1.4960391521453857	4.413322425989716e-06	4.413322425989716e-06	8.826645011595499e-06	0.0	0.15443192422389984	0	
58.81	1.629185862839222e-05	0.9124777134807491	0	1	0	0	0	1	0.0069992151111364365	4.797746078111231e-05	0.0012744472600346387	0.0014819154186449287	1.5	1.5	0.12453472225367782	0.12453472225367818	0.24906944839656112	0.0	0.049924783408641815	0	
59.67	2.071075141429901e-05	1.8520317958628212	0	0	1	0	0	1	0.0033067844342440367	-3.687067874125205e-05	-0.004293524042898139	-0.0049924698173234175	1.5	1.5	0.08988076802549472	0.08988076802549476	0.17976153250990023	0.0	0.0004684551095124334	0	
60.5	2.0335428416728973e-05	2.9618540267454945	0	0	1	0	0	0	0.09421802312135696	2.887648224714212e-05	0.10953161287603967	0.13196579864583094	1.5	1.5	0.018927061511531597	0.018927061511531597	0.03785412157918525	0.0	1.966824811461265e-06	1	
61.32	1.625088043510914e-05	3.982115354761345	0	0	0	0	0	0	0.0938190147280693	3.437817940721288e-05	-0.0004865956015703155	-0.0005934092702077018	0.4105597734451294	0.4105597734451294	2.3564853482265965e-09	2.3564853482266048e-09	4.712970577397909e-09	0.0	1.2623871725736535e-08	1	
62.17	2.2104475647211075e-05	3.501463793927784	0	0	1	0	0	1	0.009856010787189007	2.2794001779402606e-05	-0.09878000463632977	-0.11621177016038797	1.4501783847808838	1.4501783847808838	1.9498397264331383e-26	1.949839726433097e-26	1.9498397264331383e-26	0.0	1.2573168817198166e-07	1	
62.98	1.5127472579479218e-05	3.130871894702631	0	0	1	0	0	0	0.09109020978212357	4.982854443369433e-05	0.10028913456164759	0.12381374637240443	1.4966161251068115	1.4966161251068115	3.604971566548239e-20	3.6049715665482894e-20	7.209943583267389e-20	0.0	7.536804673691222e-07	0	
63.83	2.0144274458289146e-05	3.099622340924817	0	0	1	0	0	1	0.0033067846670746803	-3.687100615934469e-05	-0.10327461778241045	-0.1214995503322476	1.4981143474578857	1.4981143474578857	2.2686486570148178e-13	2.2686486570147938e-13	4.5372973861769355e-13	0.0	9.11559993710398e-07	1	
64.61	1.8513761460781097e-05	3.42394751686302	0	0	1	0	0	1	0.004454180132597685	1.997037179535255e-05	0.0014710198275935955	0.0018859228558892249	1.4962337017059326	1.4962337017059326	1.4661357945830466e-09	1.4661357945830466e-09	2.932271562929579e-09	0.0	2.0581715887146856e-07	1	
